ObjectID,Classification,Park,City,Surface_Type,Width_ft,Summer_Use,Winter_Use,Plowed,Trail_Name,Length_ft,city_population
629,PT,Lake Rebecca,Independence,Woodchip,6.0,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash), Cross-country Skate/Classic",False,,653.71,3608.0
638,PT,Cleary,Credit River Twp.,Mowed,12.0,"Unpaved Hike, Dog (On-Leash)","Cross-country Skate/Classic, Lit",False,Poplar Creek Trail,602.27,
639,PT,Cleary,Credit River Twp.,Mowed,12.0,"Unpaved Hike, Dog (On-Leash)","Cross-country Skate/Classic, Lit",False,Poplar Creek Trail,587.74,
641,PT,Cleary,Credit River Twp.,Mowed,12.0,"Unpaved Hike, Dog (On-Leash)",Snowmobile,False,,575.26,
644,PT,Cleary,Credit River Twp.,Mowed,12.0,"Unpaved Hike, Dog (On-Leash)","Cross-country Skate/Classic, Lit",False,Lakeside Trail,2819.63,
645,PT,Elm Creek,Champlin,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,1840.92,22523.0
646,PT,Silverwood,St. Anthony,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,492.82,10217.0
646,PT,Silverwood,St. Anthony,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,492.82,92.0
647,PT,Silverwood,St. Anthony,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",False,,51.94,10217.0
647,PT,Silverwood,St. Anthony,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",False,,51.94,92.0
648,PT,Silverwood,St. Anthony,Bridge,10.0,Boardwalk,"Hike, Snowshoe, Dog (On-Leash)",False,,162.73,10217.0
648,PT,Silverwood,St. Anthony,Bridge,10.0,Boardwalk,"Hike, Snowshoe, Dog (On-Leash)",False,,162.73,92.0
649,PT,Silverwood,St. Anthony,Bituminous,6.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,145.44,10217.0
649,PT,Silverwood,St. Anthony,Bituminous,6.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,145.44,92.0
650,PT,Silverwood,St. Anthony,Concrete,6.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,51.45,10217.0
650,PT,Silverwood,St. Anthony,Concrete,6.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,51.45,92.0
651,PT,Bryant,Eden Prairie,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,15.29,61496.0
652,RT,Carver,Victoria,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,Baker/Carver Regional Trail,2101.89,11768.0
653,PT,Carver,Laketown Twp.,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,1561.99,
654,PT,Carver,Laketown Twp.,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,537.68,
