ObjectID,TRPDClassification,Park,City,TrailSurface,Width_ft,Summer_Type,Winter_Type,Plowed,Name_OfficialSummer_Primary,Shape_Length
3511,Regional Trail,Not In Park,Plymouth,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Medicine Lake Regional Trail,17.4385218414778
3532,Regional Trail,Not In Park,Minnetrista,Bridge,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",NO,Dakota Rail Regional Trail,45.7305520163838
3533,Regional Trail,Fish,Maple Grove,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Medicine Lake Regional Trail,8.69771939325249
3534,Regional Trail,Not In Park,Maple Grove,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Medicine Lake Regional Trail,14.5051344082441
3535,Regional Trail,Not In Park,Maple Grove,Bituminous,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Medicine Lake Regional Trail,120.503613439142
3536,Regional Trail,Not In Park,St. Bonifacius,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",NO,Dakota Rail Regional Trail,16.6246545250932
3537,Regional Trail,Not In Park,St. Bonifacius,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",NO,Dakota Rail Regional Trail,76.8889530951588
3538,Regional Trail,Not In Park,Minnetrista,Bridge,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",NO,Dakota Rail Regional Trail,86.941187825475
3539,Regional Trail,Not In Park,Minnetrista,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",NO,Dakota Rail Regional Trail,699.849414975353
3540,Regional Trail,Not In Park,Minnetrista,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",NO,Dakota Rail Regional Trail,8.07662241640785
3565,Regional Trail,Not In Park,Brooklyn Park,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Rush Creek Regional Trail,850.951176553984
3573,Regional Trail,Not In Park,Maple Grove,Tunnel,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Medicine Lake Regional Trail,64.2221908550072
3574,Regional Trail,Not In Park,Maple Grove,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Medicine Lake Regional Trail,1063.46299531766
3575,Regional Trail,Not In Park,Maple Grove,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Medicine Lake Regional Trail,18.437151819365
3576,Regional Trail,Not In Park,Maple Grove,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Medicine Lake Regional Trail,7.13726218299518
3577,Regional Trail,Not In Park,Maple Grove,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Medicine Lake Regional Trail,408.519100867357
3578,Regional Trail,Fish,Maple Grove,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Medicine Lake Regional Trail,292.081796027681
3579,Regional Trail,Not In Park,Brooklyn Park,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Shingle Creek Regional Trail,24.5624049564294
3580,Regional Trail,Not In Park,Brooklyn Park,Concrete,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Shingle Creek Regional Trail,8.76533058470873
3581,Regional Trail,Not In Park,Brooklyn Park,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Shingle Creek Regional Trail,5.80339777366014
3582,Regional Trail,Not In Park,Brooklyn Park,Concrete,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Shingle Creek Regional Trail,18.7315735007027
3583,Regional Trail,Not In Park,Brooklyn Park,Crosswalk,0.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Shingle Creek Regional Trail,5.44501563197636
3584,Regional Trail,Not In Park,Brooklyn Park,Concrete,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,Shingle Creek Regional Trail,22.3594931753144
3585,Regional Trail,Not In Park,Hopkins,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,MN River Bluffs Regional Trail,369.329659606844
