ObjectID,Classification,Park,City,Surface_Type,Width_ft,Summer_Use,Winter_Use,Plowed,Trail_Name,Length_ft
59953,PT,Carver,Laketown Twp.,Dirt/Minimum Maintenance,12.0,"Unpaved Hike, Horse, Dog (On-Leash)",,False,,729.03
59954,PT,Carver,Laketown Twp.,Mowed,12.0,"Unpaved Hike, Horse, Dog (On-Leash)",Cross-country Skate/Classic,False,,252.58
59958,PT,Carver,Laketown Twp.,Dirt/Minimum Maintenance,12.0,"Unpaved Hike, Horse, Dog (On-Leash)",Cross-country Skate/Classic,False,,285.85
59959,PT,Carver,Laketown Twp.,Dirt/Minimum Maintenance,12.0,"Unpaved Hike, Horse, Dog (On-Leash)",,False,,733.86
59961,PT,Elm Creek,Dayton,Woodchip,8.0,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",False,,71.59
59963,PT,Gale Woods,Minnetrista,Mowed,16.0,Unpaved Hike,"Hike, Snowshoe, Cross-country Skate/Classic",False,,26.72
59965,PT,Gale Woods,Minnetrista,Mowed,16.0,Unpaved Hike,"Hike, Snowshoe, Cross-country Skate/Classic",False,,19.35
59969,PT,Gale Woods,Minnetrista,Mowed,16.0,Unpaved Hike,"Hike, Snowshoe, Cross-country Skate/Classic",False,,20.15
59971,PT,French,Plymouth,Mowed,,"Unpaved Hike, Dog (On-Leash)",,False,,188.84
59973,PT,French,Plymouth,Mowed,,"Unpaved Hike, Dog (On-Leash)",,False,,41.65
59975,PT,French,Plymouth,Dirt/Minimum Maintenance,,"Unpaved Hike, Dog (On-Leash)",,False,,950.09
59976,PT,French,Plymouth,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,28.3
59977,PT,French,Plymouth,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,35.55
59978,PT,French,Plymouth,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,21.43
59979,PT,French,Plymouth,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,135.64
59980,PT,French,Plymouth,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,26.12
59981,PT,French,Plymouth,Bituminous,10.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,302.82
59982,PT,French,Plymouth,Concrete,,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",True,,81.32
59983,PT,French,Plymouth,Bituminous,8.0,"Paved Hike, Bike, Dog (On-Leash)",,False,,55.95
59984,PT,French,Plymouth,,,"Paved Hike, Bike, Dog (On-Leash)",,False,,331.39
59985,PT,French,Plymouth,,,"Paved Hike, Bike, Dog (On-Leash)",,False,,99.26
59986,PT,French,Plymouth,,,"Paved Hike, Bike, Dog (On-Leash)",,False,,78.07
