ObjectID,TRPDClassification,Park,City,County,TrailSurface,Width_ft,DataGrade,DataSource,GlobalID,created_date,last_edited_date,MapWebWinter,MapWebSummer,Summer_Type,Winter_Type,Plowed,Name_OfficialSummer_Primary,Name_OfficialWinter_Primary,Shape_Length
1173,Park Trail,Elm Creek,Champlin,Hennepin,Gravel,2,Low Mapping,GPS Collection,{26307D7B-F4A3-4097-82F9-D16EBAD4355A},,2024/08/16 17:34:42+00,YES,YES,"Hike, Mtn Bike: Easy","Hike, Mtn Bike: Easy",,,,1048.6181674786
1174,Park Trail,Elm Creek,Champlin,Hennepin,Gravel,2,Low Mapping,GPS Collection,{0B2A27CB-1D3B-42D6-AE57-ED2B51DB7DFB},,2024/08/16 17:34:42+00,YES,YES,"Hike, Mtn Bike: Easy","Hike, Mtn Bike: Easy",,,,752.900935229131
1175,Park Trail,Elm Creek,Champlin,Hennepin,Gravel,2,Low Mapping,GPS Collection,{8E1E7D71-3A7C-488B-AE42-59BA33659A16},,2024/08/16 17:34:42+00,YES,YES,"Hike, Mtn Bike: Most Difficult","Hike, Mtn Bike: Most Difficult",,,,108.889308221978
1176,Park Trail,Elm Creek,Champlin,Hennepin,Gravel,2,Low Mapping,GPS Collection,{F95CD254-5141-4E82-9132-F3EFB9D51019},,2024/08/16 17:34:42+00,YES,YES,"Hike, Mtn Bike: More Difficult","Hike, Mtn Bike: More Difficult",,,,25.3281620951198
1177,Park Trail,Elm Creek,Champlin,Hennepin,Gravel,2,Low Mapping,GPS Collection,{3AA9CF53-F41F-4E01-A582-5BF40290B4E0},,2024/08/16 17:34:42+00,YES,YES,"Hike, Mtn Bike: More Difficult","Hike, Mtn Bike: More Difficult",,,,1939.82422782336
1185,Park Trail,Cleary,Credit River Twp.,Scott,Crosswalk,0,Low Mapping,GPS Collection,{70ACE7E1-2971-4DC8-B325-0D393B2910CC},,2024/08/16 17:34:27+00,NO,YES,"Paved Hike, Bike, Dog (On-Leash)",,,,,5.55911155673596
1188,Park Trail,Hyland,Bloomington,Hennepin,Mowed,8,Low Mapping,GPS Collection,{47D93C01-22DC-4AB6-AA15-9A927C3ECC0B},,2024/08/16 17:34:27+00,YES,YES,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",,,,36.0991412293881
1189,Park Trail,Hyland,Bloomington,Hennepin,Mowed,8,Low Mapping,GPS Collection,{F326818A-A6A8-468F-A2B6-49F8B9AB4080},,2024/08/16 17:34:27+00,YES,YES,"Unpaved Hike, Dog (On-Leash)","Hike, Snowshoe, Dog (On-Leash)",,,,38.1856030298373
1206,Park Trail,Carver,Laketown Twp.,Carver,Bituminous,10,Low Mapping,GPS Collection,{C77AFBFF-B16C-44D1-B3E7-F6EA8F45A57F},,2024/08/16 17:34:27+00,NO,YES,"Paved Hike, Bike, Dog (On-Leash)",,,,,82.6000879041681
1209,Park Trail,Not In Park,Minnetrista,Hennepin,Dock/Pier,8,Low Mapping,GPS Collection,{229A374E-E62D-4AC8-910D-B276A279EFE4},,2024/08/16 17:34:53+00,NO,YES,Boardwalk,,,,,30.5739973306563
1210,Park Trail,Lake Minnetonka,Minnetrista,Hennepin,Concrete,6,Low Mapping,GPS Collection,{FCD275C4-2B5D-4762-ACE7-95B24A5B4211},,2024/08/16 17:34:42+00,NO,YES,Boardwalk,,,,,34.1427259523663
1215,Park Trail,Silverwood,St. Anthony,Ramsey,Crosswalk,0,Low Mapping,GPS Collection,{58226336-99D6-4022-9394-079ACE1DF48E},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,5.87885872618116
1228,Park Trail,Murphy-Hanrehan,Credit River Twp.,Scott,Boardwalk,2,Low Mapping,GPS Collection,{F3AEB4DB-3CD3-43B7-A551-F618E4032EEB},,2024/08/16 17:34:53+00,YES,YES,"Hike, Mtn Bike: Most Difficult","Hike, Mtn Bike: Most Difficult",,,,11.0064429242616
1229,Park Trail,Murphy-Hanrehan,Credit River Twp.,Scott,Gravel,2,Low Mapping,GPS Collection,{554461F3-88E0-4CE8-8AF1-981D48DBD357},,2024/08/16 17:34:42+00,YES,YES,"Hike, Mtn Bike: Most Difficult","Hike, Mtn Bike: Most Difficult",,,,329.785173507104
1230,Park Trail,Murphy-Hanrehan,Savage,Scott,Gravel,2,Low Mapping,GPS Collection,{2139F196-49EE-4533-9AE9-DA46B9D778D4},,2024/08/16 17:34:42+00,YES,YES,"Hike, Mtn Bike: Most Difficult","Hike, Mtn Bike: Most Difficult",,,,214.138915061808
1231,Park Trail,Fish,Maple Grove,Hennepin,Bituminous,12,Low Mapping,GPS Collection,{8AE7AD19-6574-45E8-8D2C-7D95B962F568},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,514.824136313527
1244,Park Trail,Cleary,Credit River Twp.,Scott,Bituminous,10,Low Mapping,GPS Collection,{2C1F5CEB-FC71-4A03-9F28-21A77050334E},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",YES,,,443.412798015902
1246,Park Trail,Noerenberg,Orono,Hennepin,Pavers,0,Intermediate Mapping,Aerial Based HUD,{2588BF84-25F5-47C0-B1D0-7C6D582640B7},,2024/08/16 17:34:27+00,NO,YES,Paved Hike,,,,,3.81898115029819
1247,Park Trail,Lake Minnetonka,Minnetrista,Hennepin,Bituminous,10,Low Mapping,GPS Collection,{03AD6ED9-DA8F-4CC5-8048-85BA0E111294},,2024/08/16 17:34:27+00,NO,YES,"Paved Hike, Bike, Dog (On-Leash)",,,,,100.56684074194
1256,Park Trail,Cleary,Credit River Twp.,Scott,Crosswalk,0,Low Mapping,GPS Collection,{022C9DCB-6B04-4AD3-B501-188AF162AD2A},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)","Paved Hike, Bike, Dog (On-Leash)",,,,8.23469649792581
1259,Park Trail,Elm Creek,Dayton,Hennepin,Crosswalk,0,Low Mapping,GPS Collection,{F62C4971-5F29-4AC8-A6E1-C1BDF45F3E89},,2024/08/16 17:34:27+00,NO,YES,"Paved Hike, Bike, Dog (On-Leash)",,,,,10.4530093683971
1264,Regional Trail,Elm Creek,Dayton,Hennepin,Crosswalk,0,Low Mapping,GPS Collection,{4D9EC4E1-98BF-4166-9CBD-8E0CE10A5336},,2024/08/16 17:34:27+00,YES,YES,"Paved Hike, Bike, Dog (On-Leash)",,NO,Medicine Lake Regional Trail,Medicine Lake Regional Trail,6.97254899937421
